feature,importance
macd_signal,0.08041189181661001
volatility_ratio,0.06993826170810902
volatility_20,0.0638022956510842
momentum_5,0.06335022324766469
volatility_20_lag_5,0.0583400379648459
macd_hist,0.055284445002408256
returns_lag_2,0.05525224794194102
close_to_support,0.039224783901630034
close_to_resistance,0.03715630512236996
volume_ratio,0.0368979814673163
volume_ratio_lag_1,0.03512272609760438
volume_ratio_lag_3,0.030929375111655392
volatility_20_lag_2,0.030584055021601567
close_to_sma50,0.029551065302603076
returns_lag_1,0.028359388898281355
volatility_20_lag_1,0.026465317605528522
volatility_20_lag_3,0.025622017331119296
volume_ratio_lag_5,0.024235654446304072
high_low_spread,0.022281853033757203
momentum_20,0.02194561772506742
returns_lag_3,0.021932545748893913
returns_lag_5,0.019401455864582733
volume_ratio_lag_2,0.018582122124782847
macd,0.01644058966007921
bb_percent,0.015683537443992094
rsi,0.014073898525485903
close_to_sma20,0.013819020024505194
momentum_10,0.013734094666301792
close_to_high,0.013283165436014521
log_returns,0.010000421990894782
returns,0.008293604116965237
