feature,importance
volatility_ratio,0.10155453017856689
macd,0.07972280509051814
momentum_5,0.07877339448845971
momentum_20,0.05971990941752746
macd_signal,0.056178888253707794
close_to_sma50,0.045734463673768246
volatility_20_lag_3,0.0451896394509613
volatility_20_lag_5,0.04444986046679459
close_to_sma20,0.0430466426522434
volatility_20,0.03910347746125229
rsi,0.035118061084392437
close_to_support,0.03316191860243242
momentum_10,0.02548822478451636
volume_ratio,0.02517467483920593
volume_ratio_lag_5,0.02428309199962541
returns_lag_3,0.023829025771269344
volume_ratio_lag_1,0.02194969176715282
volatility_20_lag_1,0.020983124501331267
volume_ratio_lag_2,0.020776443368590938
high_low_spread,0.020765896031226902
macd_hist,0.02020259783817118
returns_lag_2,0.01860970926572665
returns_lag_1,0.016693219819837374
returns_lag_5,0.016174872361850803
bb_percent,0.015020633132849402
volume_ratio_lag_3,0.014675707594155181
close_to_resistance,0.014365790838217188
volatility_20_lag_2,0.014288316296159518
close_to_high,0.01038974421822599
returns,0.00908853204393744
log_returns,0.005487112707325691
