feature,importance
volatility_ratio,0.059652507676930505
volatility_20_lag_1,0.051126642687435914
volatility_20_lag_3,0.051023676086474457
volatility_20_lag_5,0.049362485998324636
momentum_20,0.04795263629144873
macd_signal,0.04648208090103337
close_to_sma50,0.04577201844744499
momentum_5,0.044819913799939555
volatility_20,0.042472283782075335
macd,0.039320952386958055
volatility_20_lag_2,0.03802439823915082
rsi,0.03244496260757186
close_to_support,0.03013702568649683
close_to_sma20,0.029789810296190197
close_to_resistance,0.029649443819243594
bb_percent,0.028730390445058297
volume_ratio,0.02786613364467707
macd_hist,0.025885360625807083
close_to_high,0.02504329039086179
momentum_10,0.024725678958918876
log_returns,0.02456259087537577
volume_ratio_lag_2,0.024544032157771
volume_ratio_lag_5,0.02379661411700964
returns_lag_1,0.023562485652582326
volume_ratio_lag_1,0.023159836644309477
returns,0.021266467130075153
returns_lag_5,0.019574356141041412
returns_lag_3,0.019463684692920206
returns_lag_2,0.01819945556292625
volume_ratio_lag_3,0.01613136987399615
high_low_spread,0.015457414379950614
