feature,importance
macd_signal,0.0912113842562209
volatility_ratio,0.06586141466618817
momentum_10,0.05431964805124077
close_to_support,0.049167125664570925
momentum_20,0.04652543766664047
high_low_spread,0.03940692802702642
volatility_20_lag_2,0.03835882409147263
rsi,0.037504592646598105
momentum_5,0.03698197891050658
close_to_resistance,0.03656957357742977
volume_ratio_lag_5,0.03502528422311753
volume_ratio_lag_3,0.03477472974165562
returns_lag_5,0.03168110459345709
macd_hist,0.03045757744212146
macd,0.027718073962406803
volatility_20_lag_5,0.02745969032297696
volume_ratio_lag_1,0.02540236082066647
volume_ratio_lag_2,0.025078757899454806
volatility_20,0.024498662887812394
returns_lag_1,0.024487562753524282
volume_ratio,0.024297459256328743
close_to_sma20,0.023768883430906513
volatility_20_lag_1,0.021893144797118763
bb_percent,0.02158769480566099
returns_lag_3,0.021513355656908605
volatility_20_lag_3,0.0213838438914852
returns_lag_2,0.019204108125212654
close_to_high,0.019033650443511275
close_to_sma50,0.0181617156735044
log_returns,0.01559262754161963
returns,0.011072804172655297
